pl_name,hostname,discoverymethod,is_transit,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_snum,sy_pnum
K2-393 b,K2-393,Transit,1,10.413181,,2.352,6.13,2.59,,,,5678.0,1.071,0.881,0.076,4.321,265.914,1,1
TOI-5799 c,TOI-5799,Transit,1,14.010449,0.0782,1.76,3.75,3.78,,337.0,,3452.0,0.321,0.325,0.01,4.936,27.8123,1,2
HD 103891 b,HD 103891,Radial Velocity,0,1919.0,3.27,13.2,918.52409623,2.19,0.31,,,6072.0,2.22,1.28,-0.19,3.79,55.5213,1,1
KOI-984 c,KOI-984,Transit Timing Variations,0,21.512,0.1467,14.1,209.8,0.411,0.38,597.0,,5295.0,0.818,0.928,0.12,4.54,252.667,1,2
K2-389 c,K2-389,Transit,1,20.851337,,2.04,4.82,3.12,,,,5782.0,1.084,0.802,-0.034,4.273,259.208,1,2
HD 7924 d,HD 7924,Radial Velocity,0,24.451,0.1551,,1568.16536014,,0.21,499.0,15.17,5075.0,0.7821,0.832,-0.15,4.59,16.9922,1,3
K2-392 b,K2-392,Transit,1,15.398723,,1.85,4.08,3.54,,,,5726.0,1.058,0.841,-0.238,4.314,406.985,1,1
GJ 4274 b,GJ 4274,Radial Velocity,0,1.6339,0.0153,1.53,2.97,4.56,,,14.7,3228.0,0.19,0.18,-0.19,5.26,7.23556,1,2
HD 33142 b,HD 33142,Radial Velocity,0,330.0,1.074,13.7,400.46379282,0.856,0.049,,,5025.4,4.17,1.52,0.06,3.375,121.375,1,3
HD 33142 c,HD 33142,Radial Velocity,0,810.2,1.955,13.9,282.86728223,0.579,0.081,,,5025.4,4.17,1.52,0.06,3.375,121.375,1,3
K2-395 b,K2-395,Transit,1,4.803352,,2.597,7.26,2.28,,,,5007.0,0.783,0.952,-0.033,4.628,286.727,1,2
K2-395 c,K2-395,Transit,1,8.491282,,3.395,11.4,1.6,,,,5007.0,0.783,0.952,-0.033,4.628,286.727,1,2
HIP 8541 b,HIP 8541,Radial Velocity,0,1852.14387,3.729,12.6,2451.7283316,6.73,0.36,,,4672.0,6.84,2.009,-0.19,2.95,155.121,2,2
HD 142 A d,HD 142,Radial Velocity,0,108.45299,0.474,10.9,82.63538582,0.351,0.13,,,6245.0,1.47,1.21,0.09,4.62,26.1853,2,3
HD 144899 b,HD 144899,Radial Velocity,0,40.43914,0.242,4.77,20.34101805,1.03,0.821,,,6126.0,1.64802,1.16,,4.0686,115.665,1,1
GJ 2030 c,GJ 2030,Radial Velocity,0,25533.11353,16.761,12.3,4069.15709482,12.0,0.041,,,5485.0,2.24104,0.96,-0.4,3.71944,37.0788,1,2
HD 125612 c,HD 125612,Radial Velocity,0,4.15466,0.051,4.07,15.57359194,1.27,0.149,,,5900.0,1.07,1.05,0.23,4.45,57.6207,2,3
HD 219828 c,HD 219828,Radial Velocity,0,4789.87297,5.657,12.2,5102.41724598,15.4,0.811,,,5891.0,1.56,1.04,0.19,4.17,73.114,1,2
HD 214823 b,HD 214823,Radial Velocity,0,1854.84424,3.08,12.1,5914.78665427,18.3,0.161,,,6215.0,2.04,1.115,0.17,4.05,101.368,2,1
GJ 676 A c,GJ 676 A,Radial Velocity,0,13921.42302,9.726,12.3,4288.14086724,12.7,0.295,,,3734.0,0.69,0.626,0.23,4.62,16.0272,2,4
HD 149806 b,HD 149806,Radial Velocity,0,16521.52778,12.404,12.3,4003.68444298,11.8,0.357,,,5352.05,0.89,0.93,0.2206,4.51,20.2727,1,1
GJ 9714 b,GJ 9714,Radial Velocity,0,19240.75467,12.319,12.5,2988.54051102,8.41,0.155,,,4263.0,0.662662,0.67,,4.62156,20.5121,1,1
HD 142 b,HD 142,Radial Velocity,0,351.43394,1.039,12.7,2256.5816897,6.05,0.158,,,6245.0,1.47,1.21,0.09,4.62,26.1853,2,3
HD 139357 b,HD 139357,Radial Velocity,0,1124.79139,2.949,12.1,6315.5682755,19.6,0.099,,,4700.0,11.47,2.69,-0.13,2.9,112.09,1,1
HD 224538 b,HD 224538,Radial Velocity,0,1202.05199,2.375,12.7,2075.73732612,5.57,0.476,,,6097.0,1.54,1.23,0.27,4.19,79.0608,1,1
HD 153557 d,HD 153557,Radial Velocity,0,40654.64809,21.449,11.9,8725.66108578,28.5,0.152,,,4837.0,0.745171,0.79,,4.59118,17.9412,1,3
HD 115404 A b,HD 115404 A,Radial Velocity,0,10.49488,0.088,6.09,30.82935548,0.75,0.232,,,5019.17,0.727007,0.83,-0.1568,4.63407,10.9816,1,2
HIP 67537 b,HIP 67537,Radial Velocity,0,2523.64713,4.807,12.3,4309.11754211,12.7,0.586,,,4985.0,8.69,2.316,0.15,2.85,116.046,1,1
HD 30177 c,HD 30177,Radial Velocity,0,12085.45186,10.258,12.7,1954.64470305,5.24,0.039,,,5580.0,1.019,0.98,0.3699,4.417,55.5867,1,2
HD 156098 b,HD 156098,Radial Velocity,0,21.85849,0.167,4.12,15.89142035,1.25,0.109,,,6419.19,2.75716,1.29,0.12,3.66773,48.249,1,2
HD 12235 c,HD 12235,Radial Velocity,0,36336.70679,22.21,12.5,3135.69506346,8.82,0.174,,,5986.0,1.80185,1.1,0.31,3.96802,31.7627,1,2
